id,category,question,answer,url,keywords
Q011,一、選課相關,課程可以抵免嗎？,"課程可以申請抵免！抵免對象主要以轉學生、重考生、重新入學或交換生等「入學前已取得學分」的同學為主。
抵免申請必須在入學或轉學當學期的指定期限內完成，逾期學校將不受理。辦理時，請登入「山洞口」進入「學生教務系統」，找到「SC0118 學生申請課程抵免設定」進行線上申請，並記得上傳原校的歷年成績單與課程大綱，以供系所進行實質審核。",,一、選課相關 教務處 待分派 抵免學分辦法
Q012,一、選課相關,暑修、跨系、跨校選課如何申請？,"暑修：
本校暑修開班上課，以接受本校學生為原則。凡大學部(含二年制專班、進修學士班及學位學程)畢業班學生只欠該(1門)課程即可畢業者，滿10人可提出申請；非畢業班學生每課程滿15人即可提出申請，如未達開班人數之課程但必須開設者，其不足之費用差額，應另由修課學生共同分攤。參加暑修之大學部(含進修學士班及學位學程)學生，所修學分總數不得超過9學分，惟應屆畢(結)業生得酌予增加5學分；碩士在職專班不得超過6學分。相關申請作業規定，每年5月由教務處逕行於網頁公告全校。

跨校選課(校際選課)：
本校實施校際選課，以教育部認可之國內公私立大學、獨立學院及其研究所為範圍；每學期修習學分數以八學分為限(經政府、學校推薦、遴選之學生不在此限)，修習課程學分數應併入當學期學分計算。經核准選修他校課程之學生仍須於本校選課時限內，依相關規定完成選課登記手續，未將申請表送回教務處註冊課務組者，不承認其校際(跨校)選課學分。

跨系選課：
本校學生得選修本系、所、及學位學程課程表外之他學系、所及學位學程相關課程，唯必須先將本學系、所、學位學程、本年級課程表必修及應修之選修課程選齊。前述單位若有特殊選課規定，例如：不得上修、擋修、限本學系(學位學程)學生修讀、外學系(學位學程)學生不可選修、任課教師特殊要求者等)，學生須向各學系、所及學位學程查詢及確認。",,一、選課相關 教務處 待分派 世新大學寒暑假開班授課實施辦法
Q013,一、選課相關,雙主修、輔系、學程如何修習？,"雙主修：
本校學生符合各學系、學程設置雙主修所列之條件者，得自二年級起至四年級
加修與本學系、學程性質不同學系為雙主修，但以一次為限。應於各年級前一學期提出申請(擬於四年級加修雙主修者，至遲應於三年級第二學期提出申請)，並於取得雙主修就讀資格後，第一學年第一學期始修讀雙主修課程。因故無法繼續修習者，得於每學期開學日後提出放棄申請，截止期限：第一學期為 11 月 30 日，第二學期為 4 月 30 日。

輔系：
本校學生符合各學系設置輔系所列之條件者，得自二年級起至四年級加修輔系，但以一次為限。應於各年級前一學期提出申請(擬於四年級加修輔系者，至遲應於三年級第二學期提出申請)，並於取得輔系就讀資格後，第一學年第一學期始修讀輔系課程。選修輔系學生，至少應修畢輔系所規定之專業(門)科目20學分。學生修習輔系課程，於規定修業年限內學校需另行開班，應繳交學分費。但因加修輔系而延長修業年限，其學期修習學分數在9學分以下者，應繳交學分費；在10學分以上者，應繳交全額學雜費。

學程：
主要採線上申請，各學程單位均依公告時間，開放系統讓學生登入登記。申請前須先至世新大學學分學程網詳閱各學程的申請條件與課程計畫表，若個別學程有額外規定繳交資料（如修讀計畫、作品等），則需另外繳交予主辦學系連絡人。",,"一、選課相關 教務處 待分派 (1)世新大學學生修讀雙主修辦法



(2)世新大學學生修讀輔系辦法


(3)世新大學學程設置辦法"
Q014,一、選課相關,畢業學分還缺哪些？,除校訂必修外，各院系訂定之必/選修學分數均有不同規範，同學可參考當年入學年度之四年課程規畫表自行計算，如有學分數認定上之疑問，請洽所屬系辦公室。,,一、選課相關 教務處 待分派
Q015,一、選課相關,必修課可以換班嗎?,"依據世新大學選課辦法第六條規定：「....且本學系、所及學位學程開設之必修課程,學生以在該年級、該班級修讀為原則。各學系、所、學位學程若有特殊之選課規定(如:不得上修、擋修、限本學系(學位學程)學生修讀、外學系(學位學程)學生不可選修、任課教師特殊要求者及各學系、所及學位學程之系、所及學位學程單位規定必、選修群組課程),學生須向各學系、所及學位學程查詢;必、選修課程如有上述特殊之選課規定,由各學系、所及學位學程單位自行決定;學生如有自行加選或確有不符規定之情形,各學系、所及學位學程單位得逕行予以刪除課程或自行配班,學生不得有異議。」",https://drive.google.com/file/d/170jRctgdF6LcrfrQlEHHyXeWKEy1QYSJ/view,一、選課相關 教務處 待分派
Q016,一、選課相關,選不到課，可以加簽嗎?,無加簽制度，需在選課時間內利用系統選課。,,一、選課相關 教務處 待分派
Q017,一、選課相關,選課系統按回到上一頁課程就不見該怎麼辦?,經測試系統並無問題，應是學生個人操作的方式有誤，相關疑問可親洽詢教務處。,,一、選課相關 教務處 待分派
Q018,一、選課相關,為什麼選課系統第一頁的學分審核跟我自己算的不一樣?,"選課系統第一頁的學分審核，是依全校一致的學分審核原則進行系統判定；惟各系課程及學分認定，可能因課程調整、改制或新舊課程之認抵規定不同而有所差異，因此系統顯示的審核結果可能與您自行計算的學分數有所不同。

如對學分認定或課程抵免有疑義，建議先洽詢所屬系辦確認；如仍有疑問，再請洽教務處註冊課務組協助。",,一、選課相關 教務處 待分派
Q019,一、選課相關,為什麼選課系統要設計最後的確認按鈕?實用性 / 必要性在哪裡?,選課系統設計「最後確認按鈕」是為了保障學生的選課權益。這個動作能防止誤觸選錯，並在送出時一次性幫您檢查衝堂、超修或額滿等問題，後台也會留下明確的送出時間紀錄作為權責依據；同時也能減輕選課高峰期的伺服器負擔，避免系統當機。選完課請務必按下確認鍵，才能確保課程順利送出。,,一、選課相關 教務處 待分派
Q020,一、選課相關,選課系統按了確定之後可以換課嗎?,若指的是勾選完欲選課程後，按下「確定送出」，送出後於當日開放選課時間內，仍可繼續加選或退選課程；但若已按下「完成選課」或「完成本階段選課」，即無法再於該階段調整課程。,,一、選課相關 教務處 待分派 1151註冊選課手冊.pdf頁-32
Q021,一、選課相關,研究所學分都修完了，我可以不選課嗎？,研究所每學期學分下限為3學分，如果無需修課，請選「論文寫作」課程。該課程為學位口試必修，無實體課程，日間學制延畢後僅收一次學分費，在職專班亦僅收第一次選課的學分費，後面皆不重複收費。,,一、選課相關 教務處 待分派
Q022,一、選課相關,「論文寫作」是什麼？一定要選嗎？,"「論文寫作」課程是碩士班學生撰寫畢業論文的重要課程，為取得碩士學位畢業資格之必要條件。
一、修課時間：本課程應於預計畢業之當學期修習，系統通常預設於碩士班二年級下學期開設。
二、修課條件：學生須於該學期依系所規定修畢應修學分，並依規定進行論文指導。
三、指導教授：學生應依系所相關規定確認論文指導教授，並於論文撰寫期間接受指導。
四、畢業資格：完成「論文寫作」課程及其他畢業相關要求後，始得依本校及系所規定辦理碩士論文口試及畢業相關事宜。",https://drive.google.com/file/d/1PyHJELw9anoeO4MRhHuPPsIZBUhIU7K3/view,一、選課相關 教務處 待分派
Q023,一、選課相關,輔修課程要怎麼選？,"本校輔修課程，其應修科目、學分數、申請條件及名額，由學士班各學系(組)、學位學程訂定後公告。學生修讀輔修課程，至少應修畢輔修他系所規定之專業科目20學分，其學分內含於主修學系規定最低畢業學分數。

本校學士班三年級以下學生申請輔修另一學系，應於每學年度第二學期規定時間內申請，並於次學年度起具備修讀資格。學生已申請輔修之學系不得再另申請為輔系或雙主修。",,一、選課相關 教務處 待分派 世新大學學生輔修課程實施要點
Q024,一、選課相關,我要如何從開課一覽表中，查看全校課程的選課限制身份？,請於欄位「學科名稱[課程大綱]」中點選英文課程名稱旁的「條件...」小方框，將會顯示該課程開放的學制、系別、年級。,,一、選課相關 教務處 待分派 1151註冊選課手冊.pdf
Q025,一、選課相關,選課的「其他」 和 畢業審核的「其他」定義不一樣,"不一樣。選課系統的【其他領域】是選課時的課程分類，包含自己系所其他年級的選修課、外系選修課，以及輔系、雙主修、學程等課程，因此重補修其他年級課程時，也需要從【其他領域】選課。

畢業審核的【其他】則是畢業學分的分類，哪些課會被列入【其他】，會依各系所及入學年度的畢業規定判定。簡單來說，選課的【其他】是「去哪裡找課」，畢業審核的【其他】是「學分最後被歸在哪一類」。",,一、選課相關 教務處 待分派 1151註冊選課手冊.pdf
Q026,一、選課相關,為什麼通識課只能修兩門？,"依本校通識課程選課規定，每學期可選修1至2門通識課程。
此項規定主要是為保障學生通識課程選修權益，並以優先修習及完成畢業所需之不同通識領域為原則，讓學生能均衡修習各領域課程。",,一、選課相關 教務處 待分派 115-1 選課手冊-P37
Q027,一、選課相關,為什麼校必修重修改成通識課，又會占用通識課選修數以及領域的名額呢？我因此無法畢業要怎麼辦？,"校必修改由通識中心開課後，系統會自動納入通識學分體系計算，故會佔用通識總額與領域配額。
若影響畢業且無法人工採計，學生須於後續學期另行加選符合規範的通識課程補足學分，以滿足畢業條件。",,一、選課相關 教務處 待分派
Q028,一、選課相關,為什麼我申請了輔修，但無法像雙主修、輔系生一樣獲得額外的修課名額？,"輔系與雙主修是128畢業學分之外,外加輔系20學分與雙主修40學分；輔修是內含於128學分之內。
各學系有開放一定比例的名額提供輔系、雙主修及外系(含輔修)選課，但沒有保障名額。",,一、選課相關 教務處 待分派
Q029,一、選課相關,為什麼我申請輔系或雙主修，必修沒有確保我一定可以選到？,輔系與雙主修無法保證選到必修，主要是因課程名額需優先保障該系的本系生順利畢業。在教室容量與教學資源有限的情況下，開放給輔雙學生的名額自然會有所限制，需視各科目的剩餘配額而定。,,一、選課相關 教務處 待分派
Q030,一、選課相關,「停開課補選」是每個人都可以選課的意思嗎？,「停開課補選」為第一階段選課人數未達30人之課程停開，經系統於停開課補選日期前發信通知之學生，才能於本階段進行選課,,一、選課相關 教務處 待分派 選課作業時間表
Q031,一、選課相關,低於學分下限無法退選怎麼辦?,"世新大學規定學生每學期必須修滿最低學分下限（一至三年級16學分、四年級8學分），若未達下限將無法完成註冊，須辦理休學。
因此若因學分低於下限而無法線上退選，必須在加退選截止前加選其他課程補足學分；若有特殊狀況無法選課，則需直接聯繫教務處註冊課務組尋求專案協助處理。",,一、選課相關 教務處 待分派 B11 世新大學選課辦法(教務會議115.5.7).pdf
Q032,一、選課相關,選修課開不成怎麼辦？,若選修課因未達開課人數或其他原因開不成，學校會於各年級選課結束後辦理停開，並通知原選該課程者，可於指定的後續階段（如第二階段-課程停開補選）登入世新大學選課系統，改選其他系內選修或外系選修。,,一、選課相關 教務處 待分派 115-1 註冊選課手冊-P21
Q033,一、選課相關,(研究所)我應該怎麼規劃我的修課？,"請先查看「入學學年度」所屬系所的課程計畫表及研究生相關規定，確認畢業總學分、必修／選修學分及其他畢業條件，再依各學期開課情形安排課程。各系所的畢業學分及修課規定可能不同，請以入學年的課程計畫表規定為主。

如仍不確定必、選修課程應如何安排，建議直接洽所屬系所確認。",,一、選課相關 教務處 待分派
Q034,一、選課相關,我要重補修課程，但課程名稱好像換了，我要怎麼知道校 / 院 / 系各種必修課程重補修新課名？ 哪裡可以統一查詢？,"先至世新選課地圖查詢，選擇「入學學年度」與「系所組別」，檢視原本應修的四年課程計畫與必修科目表。另至「學期開課一覽表」，比對目前實際開出的對應新課程名稱與課程大綱，備註處亦可查詢。

再者，可查閱註冊選課手冊，每學期於教務處或各系(開課單位)網頁公告（例如通識、國文、運算思維等校訂必修，若有大幅修訂，亦公告於此），手冊內通常會專章說明舊課名與新抵免/重補修對應規則。若新/舊課名對照在系統上不明確或遇到額滿、擋修狀況，應直接向所屬系所辦公室聯繫。",,一、選課相關 教務處 待分派
Q035,一、選課相關,選課時發現要重補修的課選不進去，詢問後說是要最後階段才會開放名額，哪邊可以事先查詢這類資訊呢？資訊不公開流通的情況下會影響我的手速？,"重補修課程延至最後階段開放，主要是為了優先保障本系生及本年級生的選課權益。
相關資訊可透過以下管道預先查詢：
課務組與系所官網：預先參閱各學期選課手冊、選課時程表及相關公告。
選課系統課程備註：於選課系統查詢該課程時，點閱「選課限制」或「備註」說明。
此外，此類名額於最後階段由系統統一釋出，選課成功與否取決於剩餘名額與送出時間，並無資訊不公開而影響個人手速之問題。",,一、選課相關 教務處 待分派
Q036,一、選課相關,為什麼選課最後階段退課跟加課只有一次？我下定決心退課結果加不到課，影響我畢業怎麼辦？,"學校為維護選課系統公平，防止學生以巨集或過高頻率（如單日超過250次點擊）癱瘓系統，同時管控修課人數，以確保教室容量與教學品質。並保障基本學分，防止學生一時退掉過多課程，導致學分低於畢業或修業門檻。

若退課後因額滿加不到課、面臨學分不足或無法畢業，請立即檢視是否低於最低修課學分（大一至大三16學分、大四8學分），並在加退選期限內改選其他本系或外系有餘額的課程，同步達到跨域學習的多元目標。",,一、選課相關 教務處 待分派
Q037,一、選課相關,為什麼第三階段加退選不能維持一週作業期？採當天退課、隔天0點名額回流，不僅能提升課表調整彈性，也能避免延畢與賣課爭議。,目前第三階段退選時程維持六天，是讓同學至少上過第一週的課程，聽完授課老師的課程大綱介紹後，認為非自己預期的課程而退選；第七天才統一進行加選。,,一、選課相關 教務處 待分派
Q038,一、選課相關,OO課什麼時候確定能不能開成？,教務處於第一階段選課結束後，於第二階段「停開課補選」前將統計未達開課人數下限之課程，未達開課人數下限的課程除設定停開外，另會MAIL通知原有修習停開課程的同學，於「停開課補選」期間進行補選,,一、選課相關 教務處 待分派
Q039,一、選課相關,延畢生要怎麼選課？何時選課？選完之後是否可以調整課程？,"延畢生在學校的正式用語為「延修生」。延修生的選課方式與一般在校生不同，須填寫「延修生選課單」，並於系所規定的期限內繳交，由系辦協助辦理選課；實際收件日期請依各系所通知為準。
選課後如需更改課程，請向系辦公室確認能否進行調整。",,一、選課相關 教務處 待分派 世新大學115-1註冊選課手冊(頁-7)
Q040,一、選課相關,為什麼最後一階段退課要退一個禮拜，這樣我最後一階段選不到課怎麼辦？,開學後一週的退選期間，是讓同學實際上課後，再確認是否繼續修讀，因此這一階段僅開放退課，不開放加課。退選期間結束後，還會再開放一次加選機會，同學可依當時釋出的課程名額進行加選。,,一、選課相關 教務處 待分派
Q041,一、選課相關,選課系統算出來的已取得學分為什麼是錯的？,"系統顯示的學分數，可能因為以下情況與你預期的不同：
同一門課程重複修讀，僅採計一次及格成績的學分
全學年課程只修習其中一學期，該學期學分原則上不列入畢業學分
抵免學分認列的類別，可能與原課程性質不同
暑修學分不計入該學期學分數，但會併入畢業學分及畢業成績計算
以「Pass／Fail」方式計分之科目，不列入計算平均成績的學分總和
若確認系統顯示的學分數有誤，建議攜帶歷年成績單，親洽教務處註冊課務組協助複核與說明。",,一、選課相關 教務處 待分派 世新大學學則、選課辦法、抵免辦法
Q042,一、選課相關,我要去哪裡查詢選課時間？,請至世新大學教務處網站→學生專區→ 選課時程，或查閱當學期『註冊、選課手冊』，即可查詢各階段選課時間。,https://oaa.web.shu.edu.tw/,一、選課相關 教務處 待分派
Q043,一、選課相關,為什麼通識課第二門有名額上限？上限是多少呢？我要怎麼知道上限已額滿？,"關於通識課第二門的名額限制，主要是為了保障全校同學的選課權益，避免少數同學一次佔用過多資源。
每門課的人數上限會依據課程性質與教室容量調整，一般班級大約落在 50 至 70 人左右，實際名額請以選課系統為準；同時也提醒您，大學四年通識課程的採計上限總共是 34 學分。
課程是否額滿，可以直接登入「山洞口」選課系統查看，課程清單上都會清楚標示「已選人數/限額人數」。如果在點選加選時系統跳出「名額已滿」的提示，就表示該門課目前已經沒有空位。",,一、選課相關 教務處 待分派 1151註冊選課手冊.pdf
Q044,一、選課相關,暑修怎麼申請？我怎麼知道暑修有開哪些課？,暑修申請資訊於每年五月中下旬公告於教務處網頁(課務業務→學生課務公告)，有意申請暑修的學生可至網頁查詢相關資訊。,https://oaa.web.shu.edu.tw/6536/%e5%85%ac%e5%91%8a114%e5%ad%b8%e5%b9%b4%e5%ba%a6%e6%9a%91%e6%9c%9f%e9%96%8b%e7%8f%ad%e7%94%b3%e8%ab%8b%e4%ba%8b%e9%a0%85,一、選課相關 教務處 待分派
Q045,一、選課相關,如果選的課不喜歡，選的課可以退嗎？,只要退課或停修後該學期學分仍達下限（大一到大三16學分、大四8學分），在加退選時間可自行退課，或是期中辦理停修。,,一、選課相關 教務處 待分派
Q046,一、選課相關,我已經先繳了學分費，後面還有加退選的話費用怎麼處理？,"關於學分費的部分，加退選結束後學校會進行「多退少補」的二次對帳：
退選（學分減少）： 多繳的費用會退還（請至「學生資訊系統」確認已設定好個人銀行/郵局帳戶）。
加選（學分增加）： 需列印補繳單完成補繳。
相關通知與撥款/補繳程序，通常會在加退選結束後數週（約期中考前後）由總務處出納組公告辦理。",,"一、選課相關 教務處 待分派 登入世新大學 「山洞口」 系統
路徑： 點選 繳費單查詢與列印(學生) ➔ 加退選補繳費"
Q047,一、選課相關,我必修課沒有通過，但是後面必修課就取消了，我該怎麼辦？,"必修課如因配合系所發展有所調整，各系均設有「對等課程」供重補修學生修習。
同學可至系辦詢問重補修課程之相關資訊。",,一、選課相關 教務處 待分派
Q048,一、選課相關,二年課表裡面的課都會開嗎？,課表為各系規劃適合該學位的課程，並從中開課，非表上全都開課。,,一、選課相關 教務處 待分派
Q049,一、選課相關,課程改名過後再修還算學分嗎？,課程名稱、學分相同之課程，已修讀及格，重複修讀多次以上，僅承認其一次及格成績之學分為畢業學分。,,一、選課相關 教務處 待分派 B11 世新大學選課辦法(教務會議115.5.7).pdf
Q050,一、選課相關,為什麼不能申請減修?,"因應本校修課及選課制度調整，115學年度起已不再受理一般減修學分申請，學生仍應依各年級每學期最低修課學分規定辦理選課。
學生若未依規定辦理選課或所選學分數低於規定者，應令休學。",,一、選課相關 教務處 待分派 世新大學選課辦法
Q051,一、選課相關,第三階段選課，為什麼前六天只能退選，加選只能在最後一天?為什麼不能加選、退選並行? 如擔心課程買賣，只要延後退選課程名額回流時間即可啊!,"第三階段退選時程維持六天，是讓同學至少上過第一週的課程，聽完授課老師的課程大綱介紹後，認為非自己預期的課程而退選；第七天才統一進行加選。
加退選不併行的設計，是要避免學生買賣課程行為。",,一、選課相關 教務處 待分派
Q052,二、實習相關,實習可以用工讀抵免嗎？,不行。教育部明確表示，實習屬於課程的一部分，學校應根據課程的專業性質，結合學生未來就業和職涯發展所需技能予以規範，而打工(工讀)是學生課後自主行為，實習和打工合約應該要明確區隔，兩者不應該混淆。工讀屬學生課餘自主性質之勞務行為，並非依課程規劃、學習計畫及輔導機劃制執行之教育訓練，故不具備實習課程之本質要件，不能以工讀時數折算或抵免實習時數／學分。一,,"二、實習相關 待分派 教育部113年12月30日臺教技通字第1132303690號
大專校院推動學生校外實習課程作業參考手冊"
Q053,二、實習相關,實習單位如何尋找？,"系所會提供合作機構名單供學生選擇；若學生想自行尋找實習機構，應將機構名單及實習工作環境等文件表單，儘早繳交系辦，院系需要時間評估機構之安全性、專業相符度等項目，並經校外實習委員會審核通過。再由學校與合作機構簽定合約及確認保險後，方能實習，不可自行洽妥實習機構後，就逕至前往實習。
另須留意，機構若最近發生重大職業災害，或有違反勞動基準法之紀錄，或屬人力派遣公司性質，原則上不得作為實習機構。",,二、實習相關 待分派 依「專科以上學校產學合作實施辦法」第6條、第6條之1、第6條之2
Q054,二、實習相關,實習合約何時繳交？,依教育部規範，實習合約應於學生正式開始實習前完成簽訂。請於15天前送交系辦，協助完成合約用印程序。,,二、實習相關 待分派 依「專科以上學校產學合作實施辦法」第6條、第6條之1、第6條之2
Q055,二、實習相關,保險如何辦理？,"自115學年度起，實習保險投保區分『一般型』與『工作型』二類保險
一般型（無僱傭關係）：教學單位應於實習前為學生投保校外實習團體傷害保險，並負擔保險費用。
工作型（具僱傭關係）：除前項團體傷害保險外，合作機構應依法為學生辦理勞工保險、勞工職業災害保險、就業保險、全民健康保險及提繳勞工退休金。",,二、實習相關 待分派 依「專科以上學校產學合作實施辦法」第6條、第6條之1、第6條之2
Q056,二、實習相關,實習時數如何認定？,"教育部訂定1學分至多可實習80小時，實習時數之採計依各系所校外實習辦法辦理。
實習時數之認定：
1.可填寫出缺席紀錄表，由實習機構輔導老師依學生實際出缺勤情況填報，再由系上指派之實習輔導教師定期查核或訪視確認，作為時數認定及書面審查之佐證依據。
2.或採計實習合約書載明之實習時數。",,二、實習相關 待分派
Q057,二、實習相關,實習報告及成果如何繳交？,實習報告及成果之繳交方式、格式及期限，請依教師教學授課大綱所規定方式辦理。,,二、實習相關 待分派
Q058,二、實習相關,可以實習完才補申請實習課嗎？,"不行。實習課程一定要「先申請、後實習」，不能倒過來。
其原因是實習機構要先經系上委員會評估、審議通過，以保障學生的學習安全權益。如學生自己先去實習，未經系委員會審核、未簽合約及保險，萬一學生發生職災或糾紛，學校和機構都很難處理。",,二、實習相關 待分派
Q059,二、實習相關,已經開始實習才找系辦保險可以嗎?,"不行。實習保險應在學生實習開始日前，完成投保，不能實習後補辦。保險是保障學生實習期間的意外或職災風險。
如學生實習後才申請投保，就形成空窗期。空窗期間學生受傷或出意外，保險公司是不會理賠。且依規，機構審核、實習合約、保險投保都要在實習前完成。",,二、實習相關 待分派 依「專科以上學校產學合作實施辦法」第6條、第6條之1、第6條之2
Q060,二、實習相關,實習中途遇到狀況該如何向學校反應與解決？,"學生反映實習狀況時，應先了解問題性質（一般適應困難或涉及勞動權益、安全、性騷擾等情事），並由輔導教師或系辦主動介入了解、聯繫機構，不宜要求學生自行協商；同時調閱實習契約，比對實際工作內容與個別實習計畫是否相符，並確認機構是否依規辦理相關保險及勞動權益事項。涉及重大爭議、終止或轉換實習者，應提報學生校外實習委員會審議，不由承辦人單獨決定；性騷擾等情事應依校內性平機制通報處理。
處理過程之學生反映紀錄、輔導教師訪視紀錄、與機構溝通往來及委員會決議，均應留存作為書面審查佐證資料。",,二、實習相關 待分派 專科以上學校產學合作實施辦法第6條之1第五、六款：契約應載明合作機構與實習學生發生爭議時之協調及處理方式；學生實習期滿前終止或解除之條件及程序。
Q061,二、實習相關,實習合約一定要用負責人印章嗎？,實習屬學校正式課程之一，依「專科以上學校產學合作實施辦法」第5條規定，學校辦理產學合作，應以學校名義與合作機構簽訂書面契約。,,二、實習相關 待分派 專科以上學校產學合作實施辦法 第五條（114年6月23日修正）
Q062,三、畢業相關,如何確認畢業資格？,"大學部
學生修業期滿，並修足本校各學系(組)、學位學程應修之科目與學分，成績及格，且符合各學系(組)、學位學程畢業條件，於完成離校手續後，始得發給畢業證書，並依照所屬學系(組) 、學位學程，分別授予學士學位。
研究所
研究生合於下列各款規定者，准予畢業。
一、在規定修業年限內修滿規定之科目與學分。
二、操行成績各學期均及格。
三、通過本校博、碩士班研究生學位考試規章規定之各項考核及考試，並完成論文之繳交。",,三、畢業相關 教務處 待分派 A01-世新大學學則(1150422校務會議通過).pdf
Q063,三、畢業相關,畢業門檻有哪些？,"大學部
1.各學系、學位學程規定畢業所需之必，修及選修課程學分
2.各學系、學位學程畢業條件
3.操行成績各學期均及格
研究所
1.各學系、學位學程規定畢業所需之必，修及選修課程學分
2.各學系、學位學程畢業條件
3.操行成績各學期均及格
4.通過本校博、碩士班研究生學位考試規章規定之各項考核及考試，並完成論文之繳交。",,三、畢業相關 教務處 待分派 A01-世新大學學則(1150422校務會議通過).pdf
Q064,三、畢業相關,可以延畢嗎？,"大學部
大學部各學系、學位學程修業年限均為四年，因未符合畢業資格，得延長修業年限至多兩年。",,三、畢業相關 教務處 待分派 A01-世新大學學則(1150422校務會議通過).pdf
Q065,三、畢業相關,畢業典禮的場次資訊和相關規定要在哪裡查詢？,畢業典禮日期與相關規定會公告於學務處課外組「畢業典禮官方網站」https://gc.web.shu.edu.tw/,,三、畢業相關 學務處 待分派
Q066,三、畢業相關,畢業證書什麼時候領？,教務處每學期會公告當學期領取畢業證書相關事宜，請依公告時間為主。,,三、畢業相關 教務處 待分派
